Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
"Population ages 05-09, male",SP.POP.0509.MA,Afghanistan,AFG,598511,617041,637175,657199,675619,691010,715263,739633,762823,784321,803673,833615,864486,893757,919177,938964,964425,987814,1005439,1013725,1010736,1004436,992478,976855,960241,944026,935747,932928,939668,961565,1000548,1074267,1172171,1279401,1378390,1458930,1522345,1563965,1594312,1628614,1676844,1738030,1820846,1916924,2011335,2090666,2177064,2247695,2306651,2363290,2424846,2479160,2539704,2600118,2650894,2685279,2720773,2733437,2727449,2714000,2708000,2714000,2735000,2769000,2806000,2835000,2859000,2876000,2885000,2890000,2894000,2904000,2915000,2927000,2937000,2944000,2952000,2958000,2962000,2964000,2963000,2963000,2962000,2958000,2952000,2943000,2935000,2926000,2914000,2900000,2883000
"Population ages 05-09, male",SP.POP.0509.MA,Albania,ALB,107256,112512,117944,123341,128553,133283,138171,142873,147497,151598,154380,156878,158261,158355,157859,157700,158181,159469,161274,163224,164913,166408,167834,169043,170168,171400,173056,175048,176981,180399,182239,182585,183171,183960,184737,184970,181899,179110,175798,171611,166733,161553,156825,151538,145995,140335,134707,128881,122815,116698,110881,102900,96015,90274,85636,81833,80328,80426,81761,84000,86000,87000,87000,86000,84000,83000,83000,82000,82000,82000,81000,81000,80000,79000,78000,76000,75000,74000,72000,70000,68000,67000,65000,63000,62000,60000,59000,58000,57000,57000,56000
"Population ages 05-09, male",SP.POP.0509.MA,Algeria,DZA,844115,888175,920773,941377,955619,971563,998560,1032196,1070224,1107518,1138103,1173476,1205428,1233258,1258586,1283839,1319116,1358919,1402103,1446428,1488766,1536347,1587923,1641541,1694161,1742106,1790148,1835413,1876356,1911704,1940425,1967832,1988053,2000155,2004014,1999914,1990906,1974665,1950113,1916190,1872729,1825308,1763539,1690702,1615741,1551140,1505276,1474496,1461782,1467815,1491075,1533244,1607902,1712218,1833076,1950088,2058573,2163478,2258875,2339000,2398000,2439000,2438000,2399000,2339000,2282000,2236000,2197000,2166000,2139000,2107000,2072000,2038000,2005000,1974000,1947000,1927000,1912000,1903000,1900000,1900000,1906000,1917000,1934000,1953000,1974000,1997000,2021000,2045000,2069000,2090000
"Population ages 05-09, male",SP.POP.0509.MA,Angola,AGO,405630,423322,432626,432712,426443,418682,418333,419071,421257,424743,428413,441890,458530,476182,492964,507898,530082,553356,576861,599844,621230,651134,682322,713014,741560,766564,799032,828877,854983,877737,898293,930807,965898,1001533,1035143,1063912,1102688,1140800,1176429,1208613,1236914,1278844,1322329,1366285,1410379,1454377,1512692,1577488,1646813,1717582,1785982,1863032,1942837,2022954,2100512,2172606,2249199,2320434,2385477,2446000,2503000,2570000,2636000,2700000,2763000,2825000,2896000,2970000,3046000,3121000,3195000,3277000,3360000,3443000,3525000,3604000,3691000,3778000,3862000,3945000,4024000,4111000,4198000,4282000,4364000,4441000,4526000,4610000,4691000,4768000,4842000
"Population ages 05-09, male",SP.POP.0509.MA,Antigua and Barbuda,ATG,4054,4124,4174,4204,4223,4249,4280,4309,4327,4333,4325,4297,4271,4253,4238,4213,4164,4108,4040,3946,3829,3688,3502,3295,3101,2965,2872,2899,3044,3270,3514,3619,3672,3668,3623,3578,3576,3570,3563,3568,3613,3612,3669,3769,3884,3984,4029,4036,4010,3964,3920,3887,3860,3837,3819,3798,3780,3766,3761,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3700,3700,3700,3700,3700,3700,3600,3600,3600,3600,3500,3500,3500,3400,3400,3400,3400,3300,3300,3300,3300,3300
"Population ages 05-09, male",SP.POP.0509.MA,Argentina,ARG,1074655,1090419,1103596,1114139,1122599,1129936,1139619,1148539,1156881,1164942,1173042,1185000,1197117,1209309,1221917,1235993,1257543,1282828,1312715,1348055,1388480,1432874,1489123,1553570,1616282,1664638,1700223,1710272,1696745,1672299,1655306,1650596,1657796,1676855,1701255,1720680,1735092,1748094,1758775,1766748,1771974,1774900,1771266,1762252,1752022,1746379,1746466,1754803,1770932,1790560,1802359,1817687,1827800,1832728,1835059,1838763,1845682,1854616,1865215,1874000,1880000,1884000,1885000,1883000,1878000,1874000,1871000,1867000,1864000,1861000,1857000,1853000,1850000,1846000,1843000,1839000,1835000,1832000,1828000,1823000,1819000,1815000,1811000,1806000,1802000,1797000,1793000,1788000,1783000,1778000,1772000
"Population ages 05-09, male",SP.POP.0509.MA,Armenia,ARM,123961,134298,144183,153387,161751,169161,175516,180417,183582,184819,184216,182311,177421,170201,162403,156282,151795,149972,150749,153019,155030,156981,158733,160254,161878,164007,167355,171910,176854,180918,182866,182456,180915,178636,176103,173444,169732,164417,157316,148923,140448,131914,123563,115541,108188,102004,97132,94205,93168,93466,94094,95002,97146,100246,103672,106613,108972,110452,110938,111000,110000,109000,107000,105000,102000,99000,96000,94000,91000,89000,87000,84000,82000,80000,78000,77000,75000,74000,74000,73000,72000,72000,72000,72000,73000,73000,73000,73000,73000,73000,73000
"Population ages 05-09, male",SP.POP.0509.MA,Aruba,ABW,4106,4176,4181,4137,4078,4034,4012,4003,4001,3985,3943,3857,3712,3510,3276,3056,2936,2824,2714,2591,2440,2352,2316,2327,2363,2403,2473,2539,2610,2691,2769,2853,2957,3054,3127,3180,3298,3405,3510,3614,3715,3773,3804,3801,3759,3690,3658,3622,3597,3591,3613,3566,3530,3504,3472,3423,3356,3256,3129,3000,2900,2800,2800,2900,2900,3000,3000,3000,3100,3100,3100,3200,3200,3200,3300,3300,3300,3300,3300,3300,3300,3300,3200,3200,3100,3100,3100,3000,3000,2900,2900
"Population ages 05-09, male",SP.POP.0509.MA,Australia,AUS,526506,533344,545435,557522,570919,582645,598754,607018,615102,622427,627680,641288,643685,642283,646342,642238,639904,643844,652263,660416,664362,665200,657895,640112,619208,605036,600913,604825,617773,635145,648590,656597,661410,661954,662012,664522,671581,679956,689732,700423,709539,713451,712091,706743,698701,692584,688162,679072,681176,686412,691890,701230,718506,740463,762711,782203,802186,818315,828811,834000,841000,850000,861000,873000,885000,894000,901000,903000,902000,899000,896000,895000,894000,894000,893000,893000,894000,895000,896000,897000,899000,903000,909000,915000,922000,929000,937000,946000,955000,963000,971000
"Population ages 05-09, male",SP.POP.0509.MA,Austria,AUT,246439,249744,257319,268715,281988,294039,304500,313623,320200,324623,328039,330403,331081,329422,324457,316628,308163,297713,284648,270377,257466,246660,237091,229059,223301,218969,215599,215341,218034,222707,227144,232850,236757,237923,237257,237370,236433,236995,238900,241129,241760,241132,237956,232253,225803,220600,216005,212364,210177,208841,207478,205716,204469,203821,204038,205593,207642,209282,211056,212000,214000,216000,218000,220000,222000,224000,225000,226000,226000,225000,225000,224000,223000,221000,219000,218000,216000,214000,211000,209000,207000,206000,204000,203000,202000,201000,201000,201000,201000,201000,202000
