Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
"Population ages 80 and above, female",SP.POP.80UP.FE,Lithuania,LTU,22372,23124,24091,25222,26506,27902,30037,32178,34222,35928,37240,38857,40093,41278,42659,44194,46231,48018,49473,50539,51350,53759,55632,56949,57803,58366,60764,62758,64242,64993,64949,67092,68608,69025,67959,65439,64649,62812,60683,59181,58754,61970,65705,69647,73315,76469,81139,85704,89883,93338,95182,98270,101566,104768,107865,110650,113229,114988,115998,117000,118000,119000,120000,120000,119000,118000,119000,119000,119000,118000,117000,119000,120000,121000,122000,123000,127000,130000,133000,136000,139000,144000,147000,151000,154000,156000,157000,158000,158000,158000,158000
"Population ages 80 and above, female",SP.POP.80UP.FE,Luxembourg,LUX,3012,3174,3323,3424,3479,3486,3672,3801,3881,3925,3927,4132,4305,4435,4548,4624,4903,5124,5304,5449,5573,5939,6245,6490,6684,6838,7238,7586,7868,8099,8303,8712,9072,9334,9448,9404,9509,9478,9380,9322,9351,9706,10079,10467,10857,11237,11661,12029,12380,12688,12958,13312,13662,14010,14356,14664,14990,15278,15432,15000,16000,16000,16000,16000,16000,17000,17000,17000,18000,18000,19000,19000,20000,20000,21000,22000,23000,24000,24000,25000,26000,27000,28000,30000,31000,32000,33000,34000,35000,36000,37000
"Population ages 80 and above, female",SP.POP.80UP.FE,"Macao SAR, China",MAC,657,695,723,735,739,736,801,870,935,973,971,1034,1061,1058,1055,1064,1158,1281,1440,1615,1805,1914,2000,2073,2165,2276,2426,2577,2698,2747,2722,2835,2921,2989,3081,3204,3383,3545,3684,3809,3925,4157,4377,4602,4822,5035,5359,5657,5938,6201,6454,6772,7092,7402,7672,7884,8088,8241,8362,8500,8500,8600,8700,8800,9100,9500,10000,11000,12000,13000,14000,16000,18000,20000,22000,24000,26000,28000,30000,33000,35000,38000,41000,44000,47000,49000,51000,53000,55000,56000,58000
"Population ages 80 and above, female",SP.POP.80UP.FE,Madagascar,MDG,6845,7543,8076,8388,8447,8209,9001,9609,9988,10096,9887,10846,11615,12113,12284,12081,13189,14058,14645,14928,14865,16366,17585,18529,19251,19743,21757,23488,24659,25021,24509,25619,26232,26313,25816,24744,25576,26003,26100,25977,25649,27433,29013,30278,31138,31566,34179,36398,38211,39659,40741,44100,47040,49418,51126,52121,55784,58805,61048,62000,63000,66000,69000,72000,73000,73000,77000,80000,83000,85000,88000,96000,103000,110000,116000,121000,130000,139000,147000,154000,159000,171000,182000,192000,200000,208000,223000,236000,248000,260000,271000
"Population ages 80 and above, female",SP.POP.80UP.FE,Malawi,MWI,4004,4417,4716,4839,4740,4386,4832,5131,5246,5150,4817,5330,5709,5896,5860,5557,6107,6485,6674,6674,6460,7195,7794,8150,8189,7892,8577,9243,9910,10598,11298,12857,14174,15286,16321,17367,19210,20818,21982,22515,22350,23952,25073,25683,25785,25404,27044,28314,29165,29602,29667,31554,33117,34335,35224,35833,38587,40891,42772,44000,46000,49000,53000,55000,58000,60000,65000,69000,73000,75000,77000,80000,83000,84000,86000,86000,91000,95000,98000,100000,102000,108000,113000,118000,121000,125000,132000,139000,145000,151000,157000
"Population ages 80 and above, female",SP.POP.80UP.FE,Malaysia,MYS,24176,24696,24558,23934,23048,21983,23058,24061,24826,25155,25035,26228,26927,27420,28018,28806,30989,32850,33960,33890,32592,33566,33775,33694,33879,34528,37805,41080,43896,45835,46865,50001,52100,53257,53717,53661,57316,60422,62707,63957,64169,68077,71039,73156,74687,75905,81921,87231,91761,95535,98633,107239,115121,122349,129237,136139,147469,158618,168919,177000,184000,194000,202000,209000,218000,228000,246000,265000,283000,302000,319000,342000,364000,386000,407000,428000,457000,484000,511000,536000,561000,592000,620000,646000,671000,697000,730000,762000,791000,820000,848000
"Population ages 80 and above, female",SP.POP.80UP.FE,Maldives,MDV,71,77,78,80,77,73,79,82,85,84,80,87,92,93,93,90,98,107,114,120,121,126,130,126,126,121,133,143,148,150,149,168,186,199,202,196,221,241,256,269,280,336,397,462,521,576,624,666,712,763,824,929,1041,1157,1282,1420,1627,1843,2053,2200,2400,2600,2700,2800,2800,2800,2800,2900,2900,2900,2900,3100,3200,3400,3600,3800,4200,4600,5000,5400,5900,6400,6900,7400,7900,8400,9000,9600,10000,11000,11000
"Population ages 80 and above, female",SP.POP.80UP.FE,Mali,MLI,2114,2450,2680,2746,2579,2103,2456,2724,2862,2813,2485,2949,3347,3614,3680,3464,4067,4569,4941,5166,5166,6172,7063,7762,8232,8394,9771,10915,11729,12191,12267,13910,15229,16116,16496,16326,18126,19452,20126,20028,19102,20802,21953,22412,22108,20996,22746,23967,24493,24209,23079,24805,25961,26390,25997,24756,26556,27700,28197,28000,28000,30000,33000,34000,34000,34000,36000,38000,38000,38000,38000,41000,44000,46000,47000,47000,50000,53000,55000,55000,55000,59000,62000,65000,66000,66000,72000,77000,81000,83000,85000
"Population ages 80 and above, female",SP.POP.80UP.FE,Malta,MLT,1430,1488,1525,1565,1621,1686,1828,1931,1989,2007,2001,2191,2341,2441,2490,2500,2659,2772,2868,2927,2953,3142,3330,3439,3448,3480,3724,3899,4044,4145,4199,4483,4665,4809,4902,4936,5082,5162,5207,5267,5370,5705,6050,6393,6703,6969,7351,7693,8050,8438,8845,9253,9543,9681,9729,9774,10398,11158,12022,12000,13000,13000,14000,14000,14000,15000,16000,17000,18000,19000,20000,21000,22000,22000,22000,23000,23000,24000,24000,25000,25000,25000,26000,26000,26000,26000,26000,26000,25000,25000,25000
"Population ages 80 and above, female",SP.POP.80UP.FE,Mauritania,MRT,276,328,375,416,445,461,541,612,673,716,739,860,965,1051,1114,1146,1313,1461,1578,1657,1700,1924,2115,2264,2361,2407,2685,2919,3087,3186,3221,3549,3814,3999,4090,4091,4443,4711,4874,4937,4902,5316,5632,5838,5917,5876,6359,6726,6961,7050,6997,7543,7956,8208,8305,8245,8895,9396,9718,9800,9800,11000,11000,11000,12000,12000,12000,13000,14000,14000,14000,15000,15000,16000,16000,16000,18000,19000,20000,21000,21000,23000,24000,25000,26000,26000,28000,30000,31000,32000,33000
