Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
"Population ages 0-14, male",SP.POP.0014.MA.IN,Afghanistan,AFG,1902102,1953770,2004991,2056805,2109868,2164336,2230902,2296118,2361632,2429402,2500443,2586012,2670592,2752541,2828915,2895936,2971911,3041295,3095246,3120758,3108311,3084506,3032367,2964752,2901803,2861857,2828047,2807139,2818221,2885340,3027113,3215575,3465236,3748182,4017801,4235769,4428537,4577779,4702525,4839421,5018100,5224742,5459334,5706477,5939125,6135501,6354940,6545864,6717432,6886070,7064712,7211629,7355870,7491378,7609957,7705172,7799417,7883785,7956000,8013000,8056000,8112000,8148000,8172000,8198000,8231000,8266000,8309000,8357000,8399000,8432000,8465000,8489000,8505000,8518000,8528000,8540000,8548000,8553000,8552000,8545000,8538000,8525000,8507000,8483000,8454000,8425000,8391000,8353000,8310000,8263000
"Population ages 0-14, male",SP.POP.0014.MA.IN,Albania,ALB,331709,345166,358688,371975,384702,396318,408015,418599,429159,439400,447728,454771,462234,468817,474279,478786,483560,487125,489368,491430,494493,497893,502484,507727,513401,519405,525846,533625,540962,551301,554000,552018,547633,541560,536024,533026,518471,507738,499236,490479,479693,466692,454482,440333,425658,411090,395037,379817,365608,352647,341151,323611,308154,294065,281127,269306,264717,259779,256000,253000,252000,250000,250000,251000,252000,252000,252000,251000,248000,246000,244000,241000,238000,236000,233000,229000,225000,221000,217000,213000,208000,204000,200000,196000,192000,188000,185000,182000,179000,177000,175000
"Population ages 0-14, male",SP.POP.0014.MA.IN,Algeria,DZA,2526841,2620161,2723482,2831412,2935708,3032878,3134864,3226081,3310295,3394234,3481233,3578471,3679027,3782180,3885636,3988674,4103955,4217228,4330834,4448177,4571075,4703834,4836670,4969023,5099026,5224461,5347524,5462560,5567188,5658035,5732242,5797483,5845212,5872898,5877204,5856024,5816732,5750870,5663311,5562786,5456153,5335098,5220303,5113681,5018572,4941359,4896343,4880173,4894018,4938671,5014760,5151743,5303253,5470493,5649008,5829467,6009841,6174065,6321000,6451000,6561000,6613000,6661000,6691000,6687000,6644000,6592000,6501000,6383000,6261000,6150000,6049000,5958000,5879000,5806000,5738000,5687000,5643000,5609000,5585000,5571000,5576000,5588000,5609000,5635000,5666000,5705000,5746000,5786000,5823000,5854000
"Population ages 0-14, male",SP.POP.0014.MA.IN,Angola,AGO,1247860,1284907,1326637,1369104,1405521,1432632,1466072,1489440,1507132,1526190,1551047,1589051,1630981,1676746,1724810,1774359,1836492,1898247,1961348,2027942,2099196,2186742,2275155,2362868,2446880,2524295,2607557,2684949,2758408,2831308,2906954,3004010,3100065,3194720,3286316,3372805,3470724,3562744,3652919,3747116,3850506,3979313,4115195,4258300,4407435,4561469,4738108,4916734,5098723,5285323,5476843,5687344,5898038,6108688,6318119,6524722,6737022,6946042,7151000,7352000,7550000,7758000,7962000,8164000,8364000,8565000,8782000,8998000,9214000,9430000,9648000,9882000,10116000,10349000,10581000,10813000,11058000,11300000,11540000,11775000,12008000,12252000,12491000,12725000,12954000,13177000,13413000,13642000,13865000,14083000,14295000
"Population ages 0-14, male",SP.POP.0014.MA.IN,Antigua and Barbuda,ATG,12009,12097,12282,12535,12792,13026,13210,13386,13546,13680,13779,13874,13914,13917,13898,13862,13755,13612,13420,13162,12844,12407,12013,11644,11274,10907,10587,10274,10069,10059,10257,10259,10402,10623,10845,11029,11125,11290,11529,11820,12126,12245,12319,12380,12469,12590,12630,12668,12691,12686,12646,12605,12540,12457,12377,12309,12264,12225,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,11000,11000,11000,11000,11000,11000,11000,11000
"Population ages 0-14, male",SP.POP.0014.MA.IN,Arab World,ARB,20474756,21220847,21968855,22714950,23451604,24175075,24985063,25766339,26527645,27277773,28018919,28828363,29609494,30391379,31213735,32106009,33078674,34118572,35205689,36303274,37383160,38518763,39627553,40719391,41812723,42916764,44115341,45291729,46448692,47570570,49122049,50164535,50808415,51697815,52458484,53333897,53904320,54382110,54794810,55194780,55605204,55929452,56277343,56662775,57099411,57599667,58171866,58789250,59489168,60308398,61261688,62412899,63700279,65075093,66439125,67718785,69022434,70117799,71089000,72051000,73054000,73890000,74808000,75727000,76505000,77063000,77565000,77846000,77975000,78081000,78230000,78460000,78717000,79010000,79329000,79658000,80101000,80546000,81011000,81495000,81989000,82562000,83122000,83674000,84209000,84724000,85264000,85769000,86237000,86659000,87028000
"Population ages 0-14, male",SP.POP.0014.MA.IN,Argentina,ARG,3218108,3263813,3305527,3343075,3376456,3405986,3438656,3467494,3495270,3526189,3563361,3611052,3665605,3725459,3788700,3854311,3935410,4024941,4120269,4216378,4310196,4417180,4504523,4580947,4658862,4742875,4802060,4879594,4961976,5029681,5074558,5124272,5149239,5157834,5164766,5177098,5193163,5210062,5228724,5248003,5267548,5279112,5299407,5323320,5343827,5357739,5379721,5390355,5395784,5405747,5424891,5444634,5474453,5509382,5540734,5563874,5588155,5603217,5611000,5618000,5625000,5630000,5635000,5640000,5642000,5639000,5637000,5631000,5622000,5611000,5599000,5590000,5580000,5569000,5558000,5545000,5535000,5524000,5513000,5500000,5487000,5475000,5463000,5450000,5436000,5421000,5408000,5394000,5380000,5364000,5347000
"Population ages 0-14, male",SP.POP.0014.MA.IN,Armenia,ARM,366637,391798,415821,438067,457909,474760,488269,497719,503629,507231,509445,506918,505426,504104,501467,496922,493941,488673,482904,479177,478618,480801,485850,492971,500829,508668,518016,527927,536557,541158,539325,532877,520698,505020,489332,476157,460944,447693,435494,423067,409874,392426,376468,361825,348314,335790,325827,316223,307814,301857,299090,298949,300324,302975,306156,309146,310873,312516,314000,314000,313000,310000,307000,303000,297000,292000,285000,279000,271000,264000,257000,251000,245000,239000,234000,230000,226000,223000,220000,217000,215000,214000,213000,212000,211000,211000,210000,209000,209000,208000,207000
"Population ages 0-14, male",SP.POP.0014.MA.IN,Aruba,ABW,11871,12027,12098,12102,12050,11957,11884,11748,11577,11398,11227,10941,10693,10442,10140,9771,9537,9211,8824,8455,8161,8020,7958,7959,7971,7931,8001,7967,7882,7863,8016,8160,8475,8890,9269,9527,9913,10181,10361,10516,10675,10752,10821,10863,10846,10782,10795,10803,10813,10818,10816,10671,10502,10307,10112,9940,9738,9598,9500,9400,9300,9200,9100,9000,9000,9000,9000,9000,9100,9200,9300,9400,9500,9500,9600,9600,9600,9600,9600,9600,9500,9500,9400,9300,9200,9100,9000,8900,8800,8700,8700
"Population ages 0-14, male",SP.POP.0014.MA.IN,Australia,AUS,1587977,1624380,1659649,1680890,1702681,1727223,1759375,1775766,1803664,1837599,1865799,1912134,1929511,1939583,1965240,1959693,1956457,1942536,1923223,1905996,1899819,1890888,1897824,1904839,1907010,1906413,1921145,1922588,1921186,1925437,1934239,1940378,1954467,1969259,1984389,1998533,2018700,2031822,2041623,2054234,2068858,2073974,2076629,2079498,2080781,2086717,2092259,2083594,2108448,2137204,2154921,2183990,2214355,2242812,2270814,2304503,2346843,2400150,2447000,2489000,2523000,2557000,2581000,2598000,2611000,2625000,2638000,2652000,2665000,2674000,2677000,2684000,2686000,2684000,2683000,2682000,2687000,2693000,2700000,2707000,2715000,2730000,2745000,2760000,2776000,2793000,2816000,2838000,2861000,2882000,2902000
