Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
"Population ages 05-09, female",SP.POP.0509.FE,Afghanistan,AFG,583661,594259,611000,632120,653794,671116,695350,718827,740268,759750,777584,806169,835623,863464,887403,905664,929537,950982,966442,972569,967669,958989,944501,926449,907826,890203,882226,880414,887686,908120,942849,1008111,1093808,1187581,1275246,1348766,1410655,1457580,1497097,1540016,1593045,1655415,1731637,1815916,1897830,1968107,2046902,2116383,2178248,2237957,2299624,2356255,2416313,2475062,2524850,2559771,2592631,2603072,2594532,2578000,2569000,2573000,2593000,2627000,2665000,2693000,2717000,2734000,2743000,2747000,2752000,2761000,2772000,2784000,2794000,2801000,2809000,2815000,2820000,2822000,2821000,2821000,2820000,2817000,2811000,2802000,2795000,2786000,2775000,2762000,2746000
"Population ages 05-09, female",SP.POP.0509.FE,Albania,ALB,102771,108060,113316,118358,123132,127485,131951,136263,140551,144385,146986,149212,150395,150368,149796,149553,149855,150917,152473,154168,155612,156861,158044,158977,159760,160606,161665,163020,164628,168276,171291,172061,173922,176226,177743,177141,175792,172621,167866,162430,157300,151173,146268,141332,136228,130823,125511,119870,113746,107344,101087,93802,87504,82391,78391,75100,73658,73931,75530,78000,80000,81000,81000,80000,78000,77000,77000,76000,76000,76000,76000,75000,75000,74000,73000,72000,70000,69000,68000,66000,64000,63000,61000,60000,59000,57000,56000,55000,55000,54000,53000
"Population ages 05-09, female",SP.POP.0509.FE,Algeria,DZA,811249,854103,885643,905159,918059,932303,958409,990403,1026185,1060998,1089263,1122748,1153061,1179535,1203683,1227753,1261992,1300827,1342979,1386030,1426698,1473346,1523417,1574951,1625113,1670596,1717070,1760803,1800528,1835080,1863306,1889195,1907978,1918724,1921453,1916794,1907669,1891851,1868633,1837053,1796699,1750927,1691422,1621236,1549054,1487137,1443178,1413904,1402265,1408719,1431493,1473082,1545333,1645508,1761257,1873364,1977263,2077488,2168423,2244000,2302000,2340000,2339000,2302000,2245000,2191000,2147000,2109000,2079000,2053000,2022000,1988000,1955000,1922000,1893000,1866000,1846000,1832000,1823000,1819000,1819000,1824000,1834000,1849000,1867000,1887000,1908000,1931000,1954000,1976000,1995000
"Population ages 05-09, female",SP.POP.0509.FE,Angola,AGO,418332,437096,446692,446376,439412,431220,430418,430805,432849,436398,440267,453712,470365,488086,505003,520176,542294,565498,589021,612194,633993,664098,695678,727051,756623,783037,816358,847318,874910,899509,922170,955982,992317,1029309,1064603,1095621,1135509,1174859,1212013,1246004,1276271,1318822,1362585,1406720,1451217,1496210,1554061,1618276,1687173,1757871,1826678,1902316,1980968,2060288,2137106,2208135,2281202,2346946,2405268,2459000,2512000,2574000,2638000,2703000,2768000,2832000,2903000,2977000,3051000,3127000,3201000,3282000,3364000,3447000,3529000,3610000,3695000,3781000,3865000,3947000,4028000,4114000,4199000,4282000,4364000,4443000,4526000,4608000,4688000,4766000,4841000
"Population ages 05-09, female",SP.POP.0509.FE,Antigua and Barbuda,ATG,4105,4237,4303,4309,4293,4294,4312,4335,4354,4364,4360,4334,4316,4304,4291,4256,4184,4104,4009,3900,3787,3650,3480,3290,3111,2984,2912,2966,3142,3397,3670,3774,3804,3766,3697,3645,3659,3680,3691,3690,3696,3708,3749,3806,3866,3910,3900,3899,3907,3912,3907,3895,3874,3846,3813,3783,3760,3742,3729,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3600,3600,3600,3600,3500,3500,3500,3400,3400,3400,3400,3300,3300,3300,3300,3300,3200,3200
"Population ages 05-09, female",SP.POP.0509.FE,Argentina,ARG,1043603,1059607,1072345,1081774,1088887,1095343,1104482,1113443,1122298,1130953,1139282,1150990,1162467,1174033,1186627,1201696,1223101,1249269,1280758,1317507,1358344,1405128,1461227,1523309,1582511,1627401,1660907,1669205,1653991,1627522,1607942,1600931,1606460,1624620,1648714,1667893,1682201,1694702,1704406,1711122,1715232,1717152,1713127,1704382,1694761,1689539,1689559,1697179,1712054,1730276,1741191,1756245,1766213,1771079,1773284,1776636,1783494,1792174,1802300,1811000,1816000,1820000,1820000,1817000,1812000,1807000,1804000,1800000,1797000,1793000,1788000,1785000,1781000,1778000,1774000,1769000,1766000,1763000,1759000,1754000,1749000,1746000,1742000,1738000,1733000,1728000,1725000,1720000,1716000,1711000,1705000
"Population ages 05-09, female",SP.POP.0509.FE,Armenia,ARM,117673,126375,135608,145078,154104,161831,168134,172523,174794,175136,174085,171797,167134,160795,154248,149338,145687,144312,145198,147376,149332,151279,152784,153850,154997,156868,160573,165923,171851,176939,179843,179765,177972,174902,171155,167059,162493,156717,149540,141180,132373,124009,115004,105739,96963,89634,83884,80484,79472,80090,80985,82256,84438,87265,90316,93090,95418,96940,97541,97000,97000,96000,95000,93000,90000,88000,86000,83000,81000,80000,78000,76000,74000,72000,71000,69000,68000,67000,67000,66000,66000,66000,66000,66000,67000,67000,67000,68000,68000,68000,68000
"Population ages 05-09, female",SP.POP.0509.FE,Aruba,ABW,4099,4135,4110,4045,3966,3902,3859,3838,3832,3825,3791,3712,3572,3375,3143,2920,2809,2703,2597,2477,2328,2239,2201,2204,2230,2262,2352,2425,2473,2500,2493,2557,2659,2779,2900,3033,3166,3295,3415,3521,3598,3684,3741,3755,3722,3649,3593,3537,3486,3456,3455,3403,3371,3356,3339,3299,3240,3146,3026,2900,2800,2700,2700,2800,2800,2900,2900,2900,3000,3000,3000,3000,3100,3100,3100,3200,3200,3200,3200,3200,3100,3100,3100,3000,3000,3000,2900,2900,2800,2800,2800
"Population ages 05-09, female",SP.POP.0509.FE,Australia,AUS,503922,510488,521696,532467,544252,554543,569564,577073,584575,591571,596761,608762,610544,609389,614020,611208,610691,615696,624524,632598,636187,636727,628854,610580,589356,575022,570254,573499,585744,602535,615732,624039,629260,630142,630161,632176,636739,641258,646176,651658,656003,658946,658369,655342,650456,647193,645433,638991,642928,649880,657239,666023,681820,701830,722085,739958,760178,776312,786752,792000,798000,807000,818000,829000,840000,847000,854000,857000,856000,852000,849000,849000,848000,848000,847000,847000,848000,849000,850000,851000,852000,857000,862000,868000,874000,881000,889000,897000,906000,914000,921000
"Population ages 05-09, female",SP.POP.0509.FE,Austria,AUT,237346,240786,248002,258593,270859,282039,291875,300453,306634,310769,313926,316157,316760,315128,310358,302882,294754,284741,272219,258511,246066,235715,226465,218618,212919,208596,205415,205189,207782,212237,216403,221762,225326,226254,225479,225545,224556,225009,226781,228934,229665,228920,225865,220508,214486,209657,205460,202067,199967,198632,197271,195802,194672,193894,193747,194771,196347,197598,199076,200000,202000,204000,206000,208000,210000,212000,214000,215000,215000,214000,213000,213000,211000,210000,208000,206000,205000,203000,201000,199000,197000,195000,194000,193000,192000,191000,191000,191000,191000,191000,192000
"Population ages 05-09, female",SP.POP.0509.FE,Azerbaijan,AZE,251311,271692,289528,304548,317761,330825,345740,361768,377656,391056,399289,404525,402972,395135,383743,372634,363805,355852,349074,343090,337205,332256,329378,328814,330416,333711,340254,349000,359663,371596,379347,393375,409029,425524,440125,450025,455423,455506,450223,440407,428264,414218,395062,372157,348563,327860,312816,302424,299366,299178,296911,296570,299539,305656,314530,325273,337777,353451,371356,389000,402000,410000,410000,402000,389000,377000,367000,357000,348000,339000,331000,323000,317000,312000,308000,305000,303000,303000,304000,305000,307000,308000,310000,311000,312000,313000,314000,314000,313000,312000,310000
"Population ages 05-09, female",SP.POP.0509.FE,"Bahamas, The",BHS,7923,8269,8712,9254,9885,10571,11005,11501,12064,12645,13185,13392,13313,13019,12700,12587,12456,12481,12677,12969,13229,13289,13168,12905,12634,12529,12568,12859,13373,13954,14376,14637,14634,14394,14058,13841,13900,14143,14526,14917,15139,14930,14574,14139,13721,13426,13402,13239,12922,12466,11916,11715,11765,12060,12477,12825,13082,13224,13243,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
"Population ages 05-09, female",SP.POP.0509.FE,Bahrain,BHR,10512,11461,12543,13597,14504,15184,15337,15382,15314,15233,15272,15317,15614,16145,16813,17456,17863,18209,18548,18940,19460,20008,20553,21037,21466,21874,22624,23432,24238,24999,25664,26554,27345,27910,28175,28086,28399,29051,30090,31504,33240,33783,34342,35087,36176,37726,38512,39238,39824,40254,40673,41864,42976,44110,45444,47097,48155,49246,50243,51000,52000,53000,53000,53000,54000,54000,54000,55000,55000,55000,55000,55000,56000,56000,56000,56000,56000,56000,56000,57000,56000,56000,56000,55000,54000,53000,53000,52000,51000,51000,50000
"Population ages 05-09, female",SP.POP.0509.FE,Bangladesh,BGD,3062259,3177971,3323933,3493378,3669965,3831242,4021539,4204492,4368595,4509758,4630401,4781295,4924012,5047153,5143208,5204858,5310690,5395459,5457774,5510448,5573847,5695413,5866937,6079374,6302351,6492909,6681837,6848539,6983940,7089668,7173512,7283300,7382132,7465955,7531184,7574558,7627795,7667362,7691544,7702906,7706451,7739200,7776937,7814454,7843490,7853924,7878631,7899025,7907856,7899107,7867687,7820591,7750717,7658114,7554200,7456776,7373540,7311180,7267657,7235000,7197000,7152000,7112000,7074000,7034000,6988000,6940000,6886000,6825000,6757000,6686000,6618000,6551000,6482000,6409000,6334000,6260000,6187000,6113000,6037000,5960000,5888000,5819000,5751000,5684000,5617000,5557000,5501000,5447000,5395000,5341000
"Population ages 05-09, female",SP.POP.0509.FE,Barbados,BRB,14926,15063,15264,15496,15710,15844,15874,15922,15949,15899,15721,15192,14536,13814,13109,12503,12288,12301,12520,12848,13163,12932,12480,11848,11177,10646,10271,10102,10134,10270,10365,10359,10322,10243,10148,10072,10019,10003,10026,10070,10111,10017,9871,9694,9516,9391,9299,9260,9272,9309,9344,9303,9249,9184,9122,9085,9016,8968,8941,8900,8900,8900,8800,8800,8700,8700,8600,8600,8500,8500,8500,8500,8400,8400,8300,8300,8300,8200,8200,8200,8200,8100,8100,8100,8000,8000,8000,7900,7900,7900,7800
"Population ages 05-09, female",SP.POP.0509.FE,Belarus,BLR,382059,398149,415936,434434,451285,463488,470622,470105,461837,448278,433709,419284,403574,387196,371788,359457,349629,346310,349032,354323,357698,360376,361619,361784,362065,364108,368934,375674,382821,390532,396205,399780,402141,402130,397979,390235,378238,360392,337553,312856,290074,271379,255455,242662,232462,223451,215654,211314,210350,211946,214500,218544,224354,231694,240013,248624,256907,264415,270934,276000,280000,283000,282000,279000,274000,270000,266000,261000,258000,254000,249000,244000,239000,234000,229000,224000,220000,217000,215000,213000,212000,212000,213000,215000,217000,220000,222000,225000,228000,230000,233000
"Population ages 05-09, female",SP.POP.0509.FE,Belgium,BEL,344260,343683,346335,353297,362515,370519,376094,380801,384117,385827,385216,383301,379046,371607,362587,353887,345894,338596,332240,326467,320562,313997,307462,301211,295534,290915,287552,285934,286516,288120,289413,290441,291422,292245,293084,294434,295476,297038,298754,300278,300969,300704,298977,295546,291533,288756,287274,286977,288029,290170,293256,298718,303510,308799,314082,318748,321951,322943,322383,322000,321000,321000,322000,323000,325000,326000,326000,326000,325000,323000,322000,321000,319000,318000,316000,315000,314000,313000,313000,312000,312000,312000,313000,314000,315000,316000,317000,319000,320000,321000,322000
"Population ages 05-09, female",SP.POP.0509.FE,Belize,BLZ,6787,7146,7520,7891,8235,8526,8813,9040,9203,9321,9439,9650,9845,10020,10183,10328,10466,10635,10832,11045,11227,11330,11394,11420,11465,11590,11888,12313,12815,13291,13630,13984,14195,14273,14289,14334,14496,14890,15473,16160,16844,17313,17734,18128,18515,18896,19119,19276,19381,19457,19533,19525,19377,19127,18860,18679,18610,18684,18907,19000,20000,20000,20000,20000,20000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
"Population ages 05-09, female",SP.POP.0509.FE,Benin,BEN,149368,152780,157013,161750,166537,170821,176552,182430,188120,193397,198098,204860,211582,217968,223861,229189,236842,244640,252282,259594,266461,275728,285478,295332,304903,313804,324924,336122,347154,357966,368523,381281,394651,408064,420962,432914,447695,462456,476931,490893,504026,519270,534444,549152,563142,576315,592262,608071,623525,638575,653249,670528,688567,707001,725252,742604,761475,780213,798408,816000,832000,851000,868000,885000,901000,917000,935000,953000,971000,989000,1006000,1025000,1044000,1062000,1080000,1097000,1115000,1134000,1152000,1169000,1185000,1204000,1222000,1239000,1256000,1271000,1289000,1306000,1322000,1338000,1352000
"Population ages 05-09, female",SP.POP.0509.FE,Bhutan,BTN,14106,14397,14876,15516,16222,16851,17599,18340,19035,19677,20284,21151,22032,22899,23731,24497,25458,26410,27320,28160,28913,29883,30835,31756,32634,33441,34487,35498,36374,37044,37506,38092,38733,39488,40341,41137,41574,41818,41751,41379,40853,40268,39600,38890,38140,37320,36555,35768,34997,34303,33730,33326,33139,33135,33206,33201,33141,32933,32588,32000,32000,32000,32000,32000,32000,32000,32000,31000,31000,31000,30000,30000,30000,29000,29000,28000,28000,28000,27000,27000,26000,26000,26000,26000,25000,25000,25000,25000,25000,24000,24000
"Population ages 05-09, female",SP.POP.0509.FE,Bolivia,BOL,257321,266331,272865,276593,278461,280037,285115,291048,297414,303480,308379,315591,323136,330530,337404,343429,351700,360158,368357,376016,382929,391795,401230,410751,419765,427575,436781,445678,453759,460790,466719,473913,480629,486557,491664,496074,502025,508431,514981,521256,526720,533225,540143,547006,553194,558007,562992,566950,569669,571345,572367,574139,575775,577048,577671,577396,577804,577750,577270,577000,576000,577000,580000,583000,587000,590000,593000,595000,596000,597000,597000,598000,599000,599000,599000,599000,598000,598000,597000,595000,594000,593000,591000,590000,588000,586000,584000,582000,580000,578000,575000
