Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
"Population ages 0-14, female",SP.POP.0014.FE.IN,Afghanistan,AFG,1888679,1937005,1977993,2015625,2055745,2101167,2160334,2221329,2284877,2350761,2418801,2501079,2581861,2659414,2730916,2792636,2863717,2927784,2976180,2996213,2978637,2948688,2890451,2817222,2749761,2706712,2674276,2656334,2668805,2730933,2857536,3023293,3242095,3491558,3733748,3937423,4125752,4280963,4417632,4563759,4741350,4942658,5161572,5387268,5601091,5788702,5994552,6183234,6359360,6530668,6702662,6853410,6991636,7115925,7225290,7318359,7400532,7481013,7555000,7615000,7659000,7712000,7744000,7764000,7787000,7818000,7849000,7891000,7938000,7982000,8015000,8047000,8070000,8087000,8101000,8113000,8123000,8131000,8136000,8137000,8133000,8125000,8113000,8096000,8075000,8049000,8020000,7988000,7951000,7911000,7868000
"Population ages 0-14, female",SP.POP.0014.FE.IN,Albania,ALB,314300,327734,341239,354435,366932,378164,389248,399087,408791,418207,425897,432207,439021,445055,449996,453920,457950,460726,462203,463582,466057,468815,473030,477981,483133,488240,493089,498667,504324,514634,520564,519893,519173,517421,513832,507943,499356,489110,477910,466435,455151,439282,426573,413549,400154,385981,369460,353778,339001,325407,313309,298836,285584,272876,260872,249999,245009,240119,236000,234000,233000,231000,232000,234000,235000,235000,235000,234000,232000,229000,227000,225000,223000,220000,218000,215000,211000,208000,204000,200000,196000,192000,189000,185000,181000,178000,175000,173000,170000,168000,166000
"Population ages 0-14, female",SP.POP.0014.FE.IN,Algeria,DZA,2428083,2516438,2615843,2720399,2820706,2912449,3011225,3098040,3177003,3255358,3336793,3429439,3525100,3623216,3721598,3819541,3930082,4038364,4146856,4259085,4376879,4506835,4637075,4766544,4892483,5012086,5131802,5241443,5339929,5425833,5497590,5558986,5605282,5633398,5638618,5617918,5580552,5515853,5429756,5332368,5231227,5112368,5002069,4901283,4812023,4739730,4699213,4685300,4699158,4741554,4813009,4944874,5090103,5250274,5421480,5594930,5768040,5925913,6068000,6193000,6298000,6348000,6393000,6422000,6418000,6376000,6325000,6237000,6124000,6007000,5900000,5802000,5714000,5637000,5566000,5500000,5448000,5405000,5371000,5347000,5332000,5335000,5346000,5364000,5388000,5416000,5452000,5490000,5527000,5561000,5590000
"Population ages 0-14, female",SP.POP.0014.FE.IN,Angola,AGO,1276779,1315047,1358792,1403601,1441935,1470181,1504365,1527770,1545045,1563682,1588370,1626021,1667802,1713605,1761738,1811301,1873145,1934579,1997531,2064439,2136704,2225414,2315725,2405975,2492863,2573211,2658758,2738418,2814362,2890371,2970063,3070707,3171379,3271347,3368273,3459551,3560383,3654682,3746762,3843021,3948999,4078995,4216686,4362010,4513365,4669302,4845419,5023506,5204624,5389539,5578228,5783176,5986697,6189374,6391274,6591525,6793651,6995263,7195000,7391000,7582000,7783000,7980000,8173000,8368000,8566000,8778000,8992000,9207000,9424000,9643000,9875000,10106000,10339000,10571000,10803000,11045000,11285000,11523000,11759000,11992000,12233000,12469000,12702000,12930000,13155000,13386000,13613000,13834000,14052000,14264000
"Population ages 0-14, female",SP.POP.0014.FE.IN,Antigua and Barbuda,ATG,12019,12210,12442,12698,12944,13165,13341,13510,13663,13796,13895,14007,14068,14082,14055,13977,13806,13586,13322,13023,12702,12273,11910,11586,11262,10935,10686,10439,10301,10352,10595,10559,10654,10832,11040,11256,11415,11667,11985,12303,12546,12702,12745,12737,12745,12798,12756,12703,12651,12595,12533,12466,12403,12348,12290,12235,12193,12150,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
"Population ages 0-14, female",SP.POP.0014.FE.IN,Arab World,ARB,19589522,20297820,21018181,21743484,22458760,23155927,23938849,24690062,25418663,26134222,26838609,27626014,28382913,29134719,29916162,30753361,31707238,32709595,33749300,34802706,35851286,36950248,38031957,39099708,40160519,41215095,42379670,43517999,44626122,45687906,47155615,48122692,48698115,49522067,50250212,51118965,51661058,52143072,52562952,52939516,53279028,53631670,53963273,54300845,54681648,55137020,55683186,56289141,56976312,57763979,58660033,59748317,60968075,62265366,63546500,64746630,65984435,67028492,67951000,68868000,69831000,70607000,71478000,72368000,73116000,73657000,74143000,74428000,74569000,74680000,74832000,75054000,75309000,75595000,75903000,76218000,76634000,77066000,77513000,77972000,78439000,78985000,79522000,80047000,80558000,81045000,81556000,82042000,82490000,82890000,83239000
"Population ages 0-14, female",SP.POP.0014.FE.IN,Argentina,ARG,3117228,3160441,3201903,3240656,3275325,3305485,3338478,3367078,3394057,3423783,3459371,3504642,3555970,3613122,3676111,3745430,3828757,3922586,4022856,4121652,4213359,4323906,4410654,4483000,4555274,4633751,4689474,4763937,4843027,4906290,4945066,4989722,5008010,5009456,5010279,5018302,5031478,5047349,5066045,5084974,5102918,5113002,5130505,5150917,5168223,5179792,5199773,5209456,5214466,5223699,5241283,5261063,5290326,5324182,5354149,5375640,5399393,5413730,5421000,5426000,5431000,5435000,5440000,5444000,5444000,5440000,5437000,5430000,5420000,5408000,5394000,5385000,5375000,5364000,5351000,5337000,5328000,5317000,5306000,5293000,5279000,5268000,5257000,5244000,5230000,5214000,5203000,5190000,5176000,5161000,5143000
"Population ages 0-14, female",SP.POP.0014.FE.IN,Armenia,ARM,357799,380605,401290,419848,436569,451295,462841,471456,477374,481288,483857,482256,481179,480045,477758,473881,471642,467456,462880,460003,459682,461484,466046,472777,480412,488266,497132,506632,515746,522282,523677,519645,509868,495892,480305,465154,448793,432556,416212,399485,382425,364361,347873,332596,318018,304036,293413,282627,272735,265224,260857,259651,260461,263051,266436,269709,271772,273784,275000,276000,276000,274000,271000,268000,264000,259000,254000,248000,242000,236000,230000,225000,220000,216000,211000,208000,205000,202000,200000,198000,196000,196000,195000,194000,194000,194000,194000,194000,193000,193000,192000
"Population ages 0-14, female",SP.POP.0014.FE.IN,Aruba,ABW,11900,12013,12036,11986,11878,11726,11605,11421,11204,10996,10811,10509,10262,10034,9752,9383,9171,8844,8445,8065,7772,7626,7572,7593,7603,7529,7575,7480,7301,7179,7244,7407,7767,8286,8829,9285,9692,9972,10143,10266,10385,10541,10667,10748,10758,10699,10608,10535,10475,10434,10405,10284,10123,9931,9742,9575,9382,9254,9200,9100,9000,8900,8800,8700,8600,8600,8600,8700,8800,8900,9000,9000,9100,9200,9200,9200,9200,9200,9200,9200,9100,9100,9000,8900,8800,8700,8600,8500,8500,8400,8300
"Population ages 0-14, female",SP.POP.0014.FE.IN,Australia,AUS,1514551,1548161,1581470,1601813,1622582,1645638,1677806,1694002,1720497,1752554,1779328,1821992,1837057,1845395,1868988,1863515,1863664,1853511,1837454,1822042,1815654,1806116,1811522,1816812,1817358,1815344,1827716,1827166,1824114,1827114,1835273,1841798,1856413,1871931,1886995,1899174,1913356,1918854,1919564,1922318,1927759,1932917,1936014,1939990,1943151,1950916,1959342,1954591,1981466,2012688,2034634,2063969,2095130,2123943,2150780,2181302,2224791,2277242,2323000,2363000,2394000,2428000,2451000,2467000,2480000,2493000,2505000,2519000,2530000,2538000,2541000,2547000,2549000,2548000,2546000,2545000,2550000,2556000,2563000,2570000,2577000,2591000,2606000,2621000,2636000,2651000,2673000,2695000,2716000,2736000,2754000
