Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
"Population ages 10-14, male",SP.POP.1014.MA,Afghanistan,AFG,523776,529579,538681,551079,565862,581374,594492,610467,629613,651223,673415,692921,714822,738723,763201,785957,802006,817716,831763,841599,844754,832580,816260,799076,784349,773741,763720,760874,769296,793124,832909,893616,974193,1063145,1146204,1214362,1260823,1291528,1316285,1346722,1388915,1437593,1494829,1555087,1613198,1668016,1729747,1795788,1868122,1948528,2036855,2120089,2205932,2290087,2366704,2431874,2497183,2553229,2601884,2643000,2674000,2686000,2692000,2691000,2692000,2701000,2717000,2741000,2772000,2802000,2827000,2843000,2856000,2867000,2877000,2889000,2898000,2909000,2920000,2931000,2940000,2946000,2951000,2956000,2959000,2961000,2960000,2957000,2954000,2949000,2943000
"Population ages 10-14, male",SP.POP.1014.MA,Albania,ALB,87091,89886,93429,97556,102098,106833,111726,117026,122847,128771,134029,139074,143843,148060,151652,154413,155921,156716,156771,156648,157053,157964,159486,161352,163217,164742,166024,167286,168222,170465,171281,169506,168574,168420,169296,171482,168230,167341,168165,169479,170098,169143,167953,165611,162788,159814,155159,150859,147065,143624,140203,132806,124865,116319,107789,99881,94292,89530,85345,82000,80000,80000,80000,82000,84000,85000,85000,84000,84000,83000,82000,82000,81000,81000,81000,80000,80000,79000,78000,77000,75000,74000,72000,71000,69000,67000,65000,64000,62000,61000,60000
"Population ages 10-14, male",SP.POP.1014.MA,Algeria,DZA,613724,644935,685993,734534,784251,827849,858011,884004,907166,930697,956987,983564,1014151,1048209,1083178,1115775,1142093,1168869,1197158,1228588,1263890,1298794,1338530,1381964,1428115,1476384,1524899,1576105,1628628,1680427,1729626,1776443,1820834,1861795,1898407,1929608,1953696,1972897,1985974,1991522,1988602,1981580,1965531,1941818,1908654,1862391,1803905,1735745,1663660,1596716,1542134,1496157,1465280,1449402,1453610,1485838,1546807,1636156,1745718,1862000,1975000,2089000,2196000,2292000,2371000,2420000,2436000,2422000,2385000,2339000,2296000,2257000,2221000,2188000,2153000,2117000,2081000,2046000,2012000,1982000,1957000,1938000,1924000,1915000,1911000,1912000,1919000,1931000,1947000,1966000,1987000
"Population ages 10-14, male",SP.POP.1014.MA,Angola,AGO,277010,291163,310098,331681,351015,363035,365440,363380,359598,357852,360317,366749,378557,394360,411349,426629,439124,452159,466279,482032,499177,517161,538504,562783,588856,615238,640893,668480,697929,727633,754726,777397,800604,824845,850754,878162,905185,936302,971008,1007010,1041046,1071787,1103892,1137969,1174365,1212279,1249515,1290934,1336501,1386340,1440199,1496443,1558930,1626376,1696904,1768813,1842040,1917717,1995129,2072000,2145000,2214000,2281000,2346000,2411000,2474000,2537000,2600000,2665000,2732000,2799000,2869000,2941000,3017000,3095000,3173000,3252000,3334000,3417000,3501000,3585000,3669000,3753000,3839000,3925000,4009000,4093000,4178000,4263000,4347000,4430000
"Population ages 10-14, male",SP.POP.1014.MA,Antigua and Barbuda,ATG,3337,3425,3539,3674,3805,3919,4005,4069,4113,4133,4128,4074,4002,3927,3869,3846,3843,3866,3900,3923,3918,3895,3835,3748,3636,3503,3255,3012,2811,2690,2684,2800,2979,3196,3400,3541,3523,3499,3504,3554,3638,3612,3574,3554,3577,3645,3742,3839,3930,4008,4055,4070,4059,4025,3984,3944,3905,3869,3834,3800,3800,3800,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3600,3600,3600,3600,3600,3500,3500,3500,3400,3400,3400,3400,3300
"Population ages 10-14, male",SP.POP.1014.MA,Argentina,ARG,984686,1006598,1026943,1045754,1062942,1078094,1092292,1104628,1115535,1125480,1134622,1145633,1156099,1165794,1173970,1179956,1183511,1187466,1193674,1205003,1223467,1245917,1275435,1310231,1350000,1396384,1453984,1516241,1580023,1635990,1673469,1688500,1686607,1672650,1657684,1651749,1654185,1664868,1681199,1698298,1712797,1726637,1738595,1748835,1756462,1759701,1756917,1750396,1741690,1735020,1730245,1740590,1756241,1775487,1794367,1809220,1820109,1827869,1833205,1837000,1842000,1849000,1858000,1867000,1874000,1879000,1881000,1881000,1879000,1876000,1872000,1869000,1866000,1863000,1859000,1855000,1852000,1848000,1845000,1841000,1837000,1834000,1830000,1826000,1822000,1818000,1814000,1810000,1806000,1801000,1796000
"Population ages 10-14, male",SP.POP.1014.MA,Armenia,ARM,77350,86299,95973,106187,116763,127499,138185,148726,158821,167928,175503,181428,185372,187669,188297,186792,182247,175855,168543,161757,156783,153901,152878,153300,154426,155614,155353,155853,156847,158016,159104,157591,155807,154154,153253,153626,155908,158879,162105,164447,164660,160639,154960,148152,140843,133364,124795,116384,108584,102131,97628,94437,92850,92354,92595,93560,95220,97777,100942,104000,107000,109000,110000,111000,111000,110000,109000,107000,104000,102000,99000,97000,94000,91000,89000,87000,84000,82000,80000,78000,77000,75000,74000,73000,73000,72000,72000,72000,72000,73000,73000
"Population ages 10-14, male",SP.POP.1014.MA,Aruba,ABW,3311,3421,3499,3559,3603,3635,3655,3669,3680,3691,3707,3721,3733,3734,3708,3629,3531,3408,3274,3143,3017,2844,2683,2521,2366,2233,2186,2175,2183,2219,2300,2383,2528,2704,2868,2983,3107,3194,3250,3309,3395,3490,3602,3724,3828,3887,3917,3915,3879,3829,3801,3758,3726,3699,3672,3643,3618,3591,3564,3500,3500,3400,3200,3100,3000,2900,2900,2900,2900,3000,3000,3000,3100,3100,3100,3100,3200,3200,3300,3300,3300,3300,3300,3300,3300,3300,3300,3200,3200,3200,3100
"Population ages 10-14, male",SP.POP.1014.MA,Australia,AUS,501609,516319,528253,533891,539278,546749,556224,564320,580508,601135,619502,637826,644160,648737,661152,665024,662201,658766,654945,651917,653196,660725,671085,680128,686089,687019,681859,670447,656337,644338,637891,637182,641863,649160,657748,665343,670265,674333,678244,684207,693021,704038,713962,723968,731667,736462,737000,726260,723899,722247,717653,715142,715287,717126,720772,728598,746622,769171,793202,814000,831000,845000,855000,863000,870000,878000,889000,902000,914000,924000,930000,935000,937000,936000,934000,931000,931000,931000,931000,930000,929000,930000,931000,932000,934000,935000,941000,947000,953000,959000,966000
"Population ages 10-14, male",SP.POP.1014.MA,Austria,AUT,257395,251860,247536,244461,243462,245666,251683,261010,272007,283078,293321,303031,312171,320144,325560,327831,329175,329205,326991,322485,316064,307531,296133,282571,269435,257674,246594,236969,228882,223073,220150,222422,227468,233884,239644,243589,243819,242486,240092,238082,237508,240197,243549,246920,249467,249810,247439,242585,236290,229746,224167,220052,216789,214494,212950,212176,212208,211664,211148,210000,210000,210000,211000,212000,213000,215000,217000,219000,221000,223000,224000,226000,226000,227000,226000,226000,225000,224000,223000,221000,218000,217000,215000,212000,210000,208000,207000,205000,204000,203000,202000
