Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
"Population ages 65 and above, female",SP.POP.65UP.FE.IN,Afghanistan,AFG,115755,118796,121633,124177,126276,127873,131602,134886,137781,140403,142793,147424,151747,155616,158833,161311,165270,167909,168811,167522,163919,162574,158312,151727,143562,134186,134380,135073,136502,138764,141599,150504,162249,175749,189647,203208,211752,217954,223012,228433,235151,243460,253556,264722,275882,286458,298721,309597,320329,332768,348066,365817,386428,408602,430252,450185,471038,489607,507000,525000,544000,564000,584000,606000,629000,652000,676000,700000,725000,752000,780000,809000,841000,873000,907000,943000,982000,1022000,1064000,1109000,1158000,1210000,1264000,1322000,1384000,1450000,1520000,1593000,1670000,1749000,1829000
"Population ages 65 and above, female",SP.POP.65UP.FE.IN,Albania,ALB,47899,49229,50840,52571,54212,55608,56355,56942,57645,58586,59659,60951,62477,64076,65695,67333,68971,70647,72263,73856,75544,77452,79478,81564,83707,85882,88000,90181,92435,95875,99114,101332,104155,107382,110559,113330,114308,114467,114160,113932,114098,116366,120025,124071,128189,132089,137065,142016,147200,152861,159181,164749,170211,175444,180853,186754,191187,196833,204000,211000,220000,228000,238000,247000,257000,267000,276000,286000,295000,304000,313000,320000,327000,332000,338000,343000,348000,352000,356000,359000,363000,365000,368000,370000,372000,375000,377000,380000,382000,384000,385000
"Population ages 65 and above, female",SP.POP.65UP.FE.IN,Algeria,DZA,175907,186281,198302,210758,222135,231684,239652,246078,251966,258594,266648,277684,289622,301717,312966,322905,331986,339884,347297,355144,363943,375079,387281,399790,411533,422010,432513,441889,451101,461498,473929,488106,503631,520315,537904,556307,581356,608356,637330,667996,700217,731010,762419,794730,827891,861759,893375,925309,958323,993103,1030288,1059086,1089395,1122690,1161637,1208226,1257830,1315694,1379000,1445000,1511000,1578000,1643000,1710000,1781000,1860000,1938000,2024000,2115000,2210000,2309000,2406000,2506000,2610000,2718000,2831000,2939000,3051000,3169000,3295000,3432000,3565000,3706000,3857000,4016000,4186000,4350000,4521000,4698000,4878000,5061000
"Population ages 65 and above, female",SP.POP.65UP.FE.IN,Angola,AGO,81558,84122,86105,87600,88787,89749,91868,93802,95566,97113,98437,101285,104053,106767,109472,112187,116041,119921,123863,127923,132122,137290,142713,148173,153386,158241,163303,167570,171377,175154,179122,184465,190131,195812,201094,205788,211286,216126,220575,224959,229439,236163,243134,250249,257356,264382,272698,281259,289869,298193,306175,315043,323658,333137,345085,360450,379281,400849,424000,448000,472000,496000,520000,544000,568000,594000,621000,648000,676000,705000,735000,765000,795000,827000,861000,897000,934000,972000,1013000,1056000,1103000,1151000,1202000,1255000,1311000,1369000,1427000,1486000,1548000,1613000,1682000
"Population ages 65 and above, female",SP.POP.65UP.FE.IN,Antigua and Barbuda,ATG,1621,1645,1663,1677,1694,1702,1739,1770,1797,1822,1852,1891,1923,1960,1995,2040,2118,2198,2278,2347,2392,2463,2514,2546,2570,2590,2638,2689,2749,2828,2947,3014,3108,3220,3339,3452,3442,3424,3389,3345,3278,3283,3274,3273,3298,3354,3409,3474,3546,3605,3644,3675,3685,3693,3725,3792,3896,4036,4200,4400,4600,4800,5100,5400,5700,6000,6300,6600,7000,7400,7900,8400,9000,9600,10000,11000,11000,12000,12000,12000,13000,13000,13000,13000,13000,13000,13000,14000,14000,14000,14000
"Population ages 65 and above, female",SP.POP.65UP.FE.IN,Arab World,ARB,1749772,1816132,1883087,1950234,2017105,2083417,2156280,2228433,2300387,2372691,2445862,2524043,2602735,2681911,2760990,2839896,2924097,3007171,3090482,3175759,3264326,3360042,3457932,3558530,3662121,3769485,3886137,4005744,4130820,4264415,4432189,4590706,4743489,4914512,5089191,5276268,5459159,5640831,5821791,6003234,6185845,6360684,6532627,6703619,6874385,7046023,7226871,7409397,7597821,7795665,8006106,8224473,8447374,8682261,8941965,9235923,9557561,9917799,10310000,10726000,11157000,11620000,12094000,12587000,13107000,13673000,14259000,14874000,15527000,16214000,16937000,17670000,18434000,19229000,20058000,20928000,21784000,22672000,23599000,24580000,25624000,26660000,27744000,28884000,30073000,31320000,32538000,33792000,35079000,36408000,37779000
"Population ages 65 and above, female",SP.POP.65UP.FE.IN,Argentina,ARG,586510,612596,639792,668233,697999,729178,760169,792068,825289,860266,897291,934552,973124,1012894,1053431,1094362,1135996,1177066,1217899,1259122,1301295,1339558,1379874,1421873,1464602,1507703,1553499,1596704,1639041,1682909,1729226,1775993,1824692,1874146,1922246,1968117,2014842,2059310,2101712,2142472,2182009,2221578,2258045,2292995,2328519,2366095,2403423,2442476,2483741,2527448,2574232,2622530,2672138,2723917,2779080,2838429,2897135,2958207,3022000,3087000,3153000,3218000,3282000,3346000,3412000,3480000,3544000,3607000,3672000,3739000,3807000,3868000,3930000,3995000,4064000,4139000,4209000,4282000,4362000,4452000,4556000,4661000,4775000,4897000,5019000,5138000,5239000,5334000,5426000,5520000,5622000
"Population ages 65 and above, female",SP.POP.65UP.FE.IN,Armenia,ARM,66876,66464,66283,66437,67081,68333,70483,73252,76497,79956,83467,86952,90033,92938,95950,99164,102669,106339,109764,112324,113767,114454,114062,113226,112863,113532,114427,116134,118643,121968,126070,133393,141308,149296,156698,163296,167687,170960,173895,177693,182972,188458,195317,202203,206979,208435,207148,202853,196938,191505,187934,186190,186197,187518,189455,191632,194948,198499,203000,208000,215000,224000,234000,245000,255000,266000,276000,286000,295000,303000,310000,315000,319000,322000,324000,327000,328000,329000,330000,332000,334000,336000,339000,342000,345000,350000,355000,361000,368000,375000,383000
"Population ages 65 and above, female",SP.POP.65UP.FE.IN,Aruba,ABW,803,849,894,932,973,1023,1071,1125,1184,1255,1329,1453,1574,1706,1835,1966,2019,2081,2149,2222,2314,2387,2472,2546,2595,2636,2645,2637,2636,2667,2739,2738,2786,2872,2981,3102,3241,3378,3533,3706,3898,4084,4287,4501,4698,4866,5111,5326,5527,5741,5998,6181,6403,6667,6953,7253,7573,7908,8300,8600,9000,9400,9800,10000,11000,11000,12000,12000,13000,13000,13000,14000,14000,14000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
"Population ages 65 and above, female",SP.POP.65UP.FE.IN,Australia,AUS,501390,514754,530562,543642,556603,569078,576904,578134,582005,588523,596035,624022,643393,661674,688471,708914,727304,749779,774259,797539,820206,846677,870769,890000,909968,935685,961334,989326,1020623,1052746,1082108,1112405,1140887,1165347,1189548,1214679,1238293,1258262,1276681,1296851,1319274,1341587,1363975,1388396,1413286,1441903,1465707,1477450,1512678,1555731,1599823,1646018,1705941,1771328,1834656,1896749,1959167,2022840,2079000,2137000,2200000,2262000,2328000,2396000,2467000,2540000,2609000,2678000,2747000,2817000,2886000,2945000,3001000,3058000,3117000,3180000,3235000,3293000,3353000,3412000,3468000,3510000,3548000,3586000,3628000,3678000,3723000,3774000,3831000,3892000,3957000
